name,score
woboq_woboq_codebrowser,1
qcubed_qcubed,1
oivoodoo_devise_masquerade,1
PrestaShop_PrestaShop,1
aodn_aodn-portal,1
opf_openproject,0
ning_maven-dependency-versions-check-plugin,1
mcallegari_qlcplus,1
Spicery_ginger,1
Zeex_samp-plugin-profiler,1
eymengunay_php-passbook,1
l0rdn1kk0n_wicket-webjars,0
oscar-stack_vagrant-hosts,1
apache_jena,1
ultraq_redhorizon,1
Leaflet_Leaflet,1
devsim_symdiff,1
knex/knex,1
muddydixon_fluent-plugin-anomalydetect,0
gushphp/ToInlineStyleEmailBundle,0
ros-perception_image_transport_plugins,0
BuildCraft_BuildCraft,1
Nepherte/commons-cli,1
stevenjackson_pinch_hitter,0
dwenzel_t3events,1
lightswitch05_table-to-json,0
yeoman_generator,1
MichaelMure_Arbore,0
hellige_ccs-cpp,1
pyload_pyload,1
LEMS_jLEMS,1
rubysec_ruby-advisory-db,1
ezsystems_ezpublish-kernel,1
sammyfung_hk0weather,0
ktuukkan_marine-api,1
skandragon_gryphon_sitemap,0
krobertson_deb-s3,1
icewind1991_SMB,1
randombit_botan,1
edx_XBlock,1
otavanopisto_muikku,1
cocos2d_cocos2d-js,1
lbriais_easy_app_helper,1
MattKetmo_EmailChecker,1
ciudadanointeligente_write-it,1
ruby-grape_grape-entity,1
opencredit_badgeos,1
spotify_annoy,1
brycedrennan_eulerian-magnification,1
clarete_forbiddenfruit,0
ai_autoprefixer-rails,1
ingenesis_shopp,1
PowerDNS_pdns,1
Kashomon_glift,0
apache_cloudstack,1
glorpen_GlorpenPropelBundle,1
TUM-Dev/Campus-Android,1
emre_kaptan,1
leafty_node-yaml-config,0
OXID-eSales_oxideshop_ce,1
tobie_specref,0
egulias_EmailValidator,1
phax_as2-lib,0
puppetlabs_puppetlabs-postgresql,1
juliangruber_isarray,0
redcross_arcdata,1
publiclab_plots2,1
wojdyr_xylib,1
krishauser_KrisLibrary,1
netresearch_t3x-contexts_geolocation,1
jejacks0n/teaspoon,0
netresearch_t3x-contexts_wurfl,1
vektor-inc/biz-vektor,1
Teevity/ice,0
ff4j/ff4j,0
gini_dropwizard-gelf,1
propertyshelf_plone.mls.listing,0
willnet_gimei,0
digidentity_libsaml,1
Switajski_FlexibleOrders,0
devnexen_rbcLib,0
JeroenDeDauw_FileFetcher,0
apache_commons-csv,1
playframework_play1,1
treydock_puppet-infiniband,1
jhermsmeier_node-disk,0
BladeRunnerJS_brjs,1
vufind-org_vufind,1
fisharebest_webtrees,1
Yoast/wordpress-seo,1
cotag_http-parser,1
seandepagnier/plots_pi,0
Morrolan_surrealism,1
davidmoten_logan,0
cms-sw_cms-bot,0
linaGirl/ee-types,0
Rubentxu_DreamsLibGdx,1
audioscience_avdecc-lib,1
oskariorg/oskari-server,1
jhoblitt_puppet-ipmi,0
jcabi_jcabi-maven-plugin,1
spring-guides_gs-accessing-data-jpa,1
jegelstaff_formulize,1
controlshift_nation_builder,1
salesagility_SuiteCRM,1
tarmstrong_git2json,1
percona/percona-server,1
vinsol-spree-contrib/spree_bank_transfer,1
adrien-matta_nptool,1
telefonicaid_fiware-orion,1
gds-operations_puppet-auditd,1
sarahtattersall_PIPE,1
Kosmas_leaguer,0
umple_umple,1
usemarkup_OEmbedBundle,1
jasmine_jasmine_junitxml_formatter,0
caelum_vraptor4,1
fablabbcn/fablabs.io,1
hhatto_pgmagick,1
seqan_seqan,1
alibaba/transmittable-thread-local,1
Starou_django-stachoutils,1
nortikin_sverchok,1
Japle/python-pagseguro,1
h4tr3d_avcpp,1
cisco_openh264,1
pypa_warehouse,1
Tanaguru_Contrast-Finder,1
PADL_CredUI,1
cryptocoinjs_eckey,0
shunwen_fluent-plugin-rename-key,1
cburgmer_xmlserializer,0
protobuf-c_protobuf-c,1
OhadR_oAuth2-sample,0
tdunning_t-digest,1
HubSpot_Singularity,1
xero-gateway_xero_gateway,1
f-list_fserv,1
usb-tools/USBProxy-legacy,1
dimazest_poultry,0
hivesolutions_cameo_android,0
kimmobrunfeldt_nap,1
dschadow_JavaSecurity,1
rspec_rspec-activemodel-mocks,0
Wulf/nodehun,1
andersondanilo_CnabPHP,1
Dash-Labs_octo-receiver,0
inspirehep_inspire-next,1
uw-loci_visbio-imagej,0
jeremyong_Selene,1
avz_node-posix-clock,0
luoqii_android_common_lib,0
tfussell_xlnt,1
HdrHistogram_HdrHistogram,1
