"pockethub/PocketHub";"0.9326424870466321";"7";"1";"0.22814321398834306";"34.772277227722775";"1";"0.43564356435643564";"9727";"63036";"dormant";"9487";"0";"90"
"yui/yui3";"0.000370919881305638";"13";"1";"0.2563780773160202";"302.1547619047619";"1";"0.8095238095238095";"393764";"1128186";"dormant";"4008";"0";"70"
"ruby-grape/grape";"0.9846153846153847";"79";"1";"0.054767680537413696";"19.609756097560975";"1";"0.5934959349593496";"25349";"60786";"active";"9222";"0";"90"
"sproutcore/sproutcore";"0.0010351966873706005";"39";"1";"0.30732805541810987";"67.34246575342466";"1";"0.3424657534246575";"124632";"279978";"active";"2153";"0";"70"
"rapid7/metasploit-framework";"0.9875544492843809";"66";"1";"0.09975354821351841";"679.7126436781609";"1";"5.517241379310345";"787773";"2757156";"active";"22573";"0";"90"
"GeoNode/geonode";"0.001392757660167131";"26";"1";"0.2851118940553241";"118.58208955223881";"1";"1.6865671641791045";"243187";"1307120";"active";"953";"0";"70"
"concrete5/concrete5";"0.9723210755239226";"8";"1";"0.160858168534084";"185.1283783783784";"1";"2.1013513513513513";"303115";"848990";"active";"646";"0";"90"
"statsmodels/statsmodels";"0.900728597449909";"10";"1";"0.35596503125601964";"76.33333333333333";"1";"1.3615819209039548";"212552";"488136";"active";"5820";"0";"90"
"lml/quadbase";"0.8644366197183099";"3";"1";"0.20880471433523462";"11.785714285714286";"1";"0.16071428571428573";"12091";"50214";"dormant";"17";"0";"90"
"Theano/Theano";"0.9373368146214099";"29";"1";"0.28217830840309227";"186.24503311258277";"1";"1.4966887417218544";"128057";"313846";"active";"9309";"0";"90"
"benedikt/mongoid-tree";"0.7272727272727273";"2";"1";"0.2525970475669765";"2.6728971962616823";"1";"0.028037383177570093";"1202";"2734";"dormant";"308";"0";"90"
"Azure/azure-sdk-for-node";"0.00009494872768704899";"15";"1";"0.5197262807679516";"68.41346153846153";"0";"1.6538461538461537";"1778439";"3763032";"active";"1138";"0";"0"
"litl/rauth";"0.8571428571428571";"3";"1";"0.3122468058585229";"8.772727272727273";"1";"0.18181818181818182";"1787";"4414";"dormant";"1568";"0";"90"
"fluent/fluentd";"0.9886104783599089";"6";"1";"0.06935338494400613";"50.575221238938056";"1";"0.9469026548672567";"73014";"150748";"active";"9826";"0";"90"
"facebook/folly";"0.9833846153846154";"101";"1";"0.22713899729810869";"89.72549019607843";"1";"0.5";"303531";"643600";"active";"16030";"0";"90"
"cartalyst/sentry";"0.974025974025974";"7";"1";"0.47590308755357297";"14.076923076923077";"1";"0.11538461538461539";"5788";"11984";"dormant";"1596";"0";"90"
"Netflix/servo";"0.9409282700421941";"6";"1";"0.33411096029860876";"12.72";"1";"0.16";"14642";"31398";"dormant";"1343";"0";"90"
"roundcube/roundcubemail";"0.9925093632958801";"2";"1";"0.21067478692521746";"65.98351648351648";"1";"1.4285714285714286";"85260";"288762";"active";"3646";"0";"90"
"substack/node-browserify";"0.0026109660574412533";"4";"1";"0.015177510888214334";"19.058333333333334";"1";"0.55";"5656";"14924";"active";"13482";"0";"70"
"jruby/jruby";"0.9766516317325551";"12";"1";"0.11587737841381243";"212.1861471861472";"1";"0.9393939393939394";"549500";"1722308";"active";"3466";"0";"90"
"symfony-cmf/cmf-sandbox";"0.6666666666666666";"12";"1";"0.16313519594974685";"14.655555555555555";"1";"0.14444444444444443";"2270";"8926";"dormant";"368";"0";"90"
"danvk/dygraphs";"0.004366812227074236";"6";"1";"0.15898520084566597";"18.3015873015873";"1";"0.2698412698412698";"35721";"91494";"dormant";"2877";"0";"70"
"pods-framework/pods";"0.8709677419354839";"4";"1";"0.2447541841004184";"60.388888888888886";"1";"1.3680555555555556";"84936";"288806";"active";"871";"0";"90"
"twitter/twitter-cldr-rb";"0.9436619718309859";"3";"1";"0.0007383023358015274";"12.850467289719626";"1";"0.07476635514018691";"24582";"6025598";"active";"616";"0";"70"
"django-haystack/django-haystack";"0.8467153284671532";"9";"1";"0.15128692986628614";"11.827338129496402";"1";"0.4244604316546763";"21131";"64234";"active";"3095";"0";"90"
"scikit-learn/scikit-learn";"0.9455621301775148";"90";"1";"0.32749189889825014";"201.32824427480915";"1";"4.8396946564885495";"142595";"415072";"active";"43436";"0";"90"
"enigma-dev/enigma-dev";"0.8354430379746836";"11";"1";"0.1735162701106778";"33.7";"0";"0.5214285714285715";"90861";"209388";"active";"192";"0";"0"
"kriskowal/q";"0.041666666666666664";"5";"1";"0.12210566109063416";"7.724137931034483";"1";"0.25";"6612";"18578";"dormant";"14909";"0";"70"
"expressjs/express";"0.006578947368421052";"2";"1";"0.11831772163875486";"41.73880597014925";"1";"1.1194029850746268";"14378";"37274";"active";"51245";"0";"70"
"sferik/twitter";"0.9878787878787879";"5";"1";"0.14566756468892927";"16.936305732484076";"1";"0.21656050955414013";"10976";"27272";"dormant";"4324";"0";"90"
"intermine/intermine";"0.9814453125";"11";"1";"0.11988343853772045";"156.16143497757847";"1";"0.3452914798206278";"207467";"1385094";"active";"182";"0";"90"
"plataformatec/responders";"0.59375";"14";"1";"0.19049387300408466";"2.9069767441860463";"1";"0.06201550387596899";"1687";"4360";"active";"1843";"0";"70"
"sleuthkit/autopsy";"0.9916926272066459";"18";"1";"0.2317021080095126";"206.75342465753425";"1";"1.4931506849315068";"257260";"1064824";"active";"1134";"0";"90"
"silverstripe/silverstripe-cms";"0.9328859060402684";"18";"1";"0.125474022199463";"39.41875";"1";"0.55625";"13968";"63188";"active";"489";"0";"90"
