project,ch.uzh.ciclassifier.features.configuration.EnvSize,ch.uzh.ciclassifier.features.configuration.NumberOfComments,ch.uzh.ciclassifier.features.configuration.NumberOfConfigurationLines,ch.uzh.ciclassifier.features.configuration.NumberOfJobs,ch.uzh.ciclassifier.features.configuration.NumberOfNotifications,ch.uzh.ciclassifier.features.configuration.NumberOfStages,ch.uzh.ciclassifier.features.configuration.ParseScore,ch.uzh.ciclassifier.features.configuration.TemplateSimilarity,ch.uzh.ciclassifier.features.configuration.UniqueInstructions,ch.uzh.ciclassifier.features.configuration.UseBranches,ch.uzh.ciclassifier.features.configuration.UseCache,ch.uzh.ciclassifier.features.configuration.UseDeploy
royriojas_eslint-friendly-formatter,0,0,4,1,0,1,2,3,0,0,0,0
krishauser_KrisLibrary,0,4,24,2,0,1,1,4,1,0,0,0
vluzrmos_laravel-language-detector,0,0,15,5,0,1,2,14,3,0,0,0
marvinpinto_ansible-role-docker,0,0,34,1,2,1,11,10,8,0,0,0
ichylinux_closer,0,0,17,3,0,1,12,6,3,1,1,0
okpy_ok,4,0,34,2,1,1,12,12,5,0,1,0
lessersunda_lexirumah-data,0,0,23,1,0,1,111,10,9,0,0,1
Dynatrace_openkit-java,3,33,131,5,0,1,33,9,2,0,0,1
Kashomon_glift,0,0,6,1,0,1,2,5,2,0,0,0
ruby-grape_grape-entity,0,0,27,7,0,1,3,6,1,0,0,0
Tokimon_vanillajs-helpers,0,0,13,1,0,1,2,6,4,0,0,0
Aplyca_ansible-role-webapp,0,1,18,1,0,1,2,6,4,0,0,0
voxpupuli_puppet-vault_lookup,3,2,51,5,1,1,103,9,2,1,1,1
qossmic_rich-model-forms-bundle,4,0,42,7,0,1,3,14,7,0,1,0
spryker_stock,3,0,38,3,0,1,3,21,6,0,1,0
hawaiidatascience_metaflowmics,1,0,28,1,0,1,1,6,11,0,0,0
libbitcoin_libbitcoin-blockchain,1,15,105,6,0,1,43,7,19,0,0,0
Adyen_adyen-mirakl,3,3,36,1,1,1,11,10,9,0,1,0
DMKEBUSINESSGMBH_typo3-mksearch,1,1,58,6,1,1,13,28,8,0,1,0
tna0y_Python-random-module-cracker,0,0,13,5,0,1,13,4,1,0,0,0
twitter_twitter-cldr-rb,1,0,23,36,0,1,13,6,1,0,1,0
OSGeo_gdal,2,131,184,1,1,1,24,8,3,1,0,0
shutterstock_rickshaw,1,0,18,2,0,1,2,6,1,0,0,0
jpbonson_SBBFramework,0,0,33,1,0,1,12,8,3,1,1,0
briancairl_twod,0,0,24,1,0,1,0,4,5,0,0,0
sensu-plugins_sensu-plugins-sentry,0,0,36,5,1,1,102,8,4,0,1,1
digidentity_libsaml,0,0,8,4,0,1,12,2,0,0,0,0
TeleMidia_ginga,0,0,20,1,1,1,12,5,2,0,0,0
NAL-i5K_tripal_eutils,3,6,35,1,0,1,2,28,12,0,0,0
thenables_thenify,0,0,10,4,0,1,2,6,1,0,0,0
VestniK_portable_concurrency,3,0,26,5,0,1,13,6,2,0,0,0
p-groarke_fea_benchmark,1,0,104,8,1,1,3,5,12,0,0,0
yadahan_laravel-cardcom,0,0,10,2,0,1,12,14,1,0,0,0
GermaniaKG_Tracking,0,1,25,4,0,1,2,16,5,0,0,0
Hashfyre_ansimp_le,0,0,15,1,0,1,12,4,2,0,0,0
remotestorage_remotestorage.js,0,0,15,2,0,1,12,5,3,1,1,0
PADL_CredUI,0,0,18,1,1,1,1,5,4,0,0,0
yitsushi_jenkins2-api,0,0,6,3,0,1,2,3,0,0,0,0
benedikt_mongoid-tree,1,0,23,7,0,1,3,6,2,0,0,0
dennisss_tansa,0,0,21,1,0,1,12,6,2,1,0,0
pytroll_trollsift,9,0,38,2,0,1,4,8,4,0,0,1
Paparoni_goatapp,0,0,27,1,0,1,22,8,6,1,0,0
magic-modules_magic-modules.github.io,1,0,28,2,0,1,3,8,3,0,1,0
silverstripe_silverstripe-cms,17,9,100,8,0,1,2,38,25,0,1,0
mavlink_qgroundcontrol,8,36,325,6,1,2,206,12,25,0,0,1
Jasig_WeatherPortlet,0,0,16,2,0,1,13,4,2,0,0,0
benbalter_site-inspector,0,0,10,1,0,1,12,5,2,0,1,0
h4tr3d_avcpp,1,49,137,7,0,1,1,7,9,0,1,0
fusion-jena_JaroWinklerSimilarity,0,0,2,1,0,1,2,3,1,0,0,0
splunk_splunk-sdk-python,1,11,47,4,0,1,12,9,14,0,0,0
wanze_SeoMaestro,0,4,29,3,0,1,2,14,8,0,0,0
choury_sproxy,2,1,509,56,0,1,1,3,2,0,0,0
kuzzleio_kuzzle,11,98,455,24,1,5,15,8,26,0,0,0
corphish_NightLight,0,0,19,1,0,1,2,5,2,0,0,0
protobuf-c_protobuf-c,2,0,33,1,0,1,21,6,8,0,0,0
mrtrizer_mojito-reflection,0,0,26,1,0,1,10,6,13,0,0,0
konuralp_myDemoApp,0,0,3,1,0,1,2,3,0,0,0,0
GMOD_jbrowse,1,10,126,2,0,1,58,14,27,0,1,1
rubygems_rubygems.org,1,0,58,4,0,1,3,13,10,0,1,0
hoaproject_Dispatcher,3,0,54,6,1,1,12,18,5,1,1,0
ingenesis_shopp,2,23,68,1,0,1,13,33,18,0,0,0
expertiza_expertiza,4,6,87,4,3,1,102,12,27,1,1,0
eFaps_Data-Exporter,0,0,23,1,0,1,2,6,4,0,1,0
uclouvain_osis,1,0,31,1,0,1,2,11,6,0,1,0
medialab-ufg_tainacan,1,1,51,3,1,1,53,24,9,0,1,0
spotify_luigi,12,5,106,14,0,1,82,13,6,1,1,0
dina-web-nrm_dina-collections,38,0,210,11,1,4,4,11,9,0,0,0
datamade_openness-project-nmid,0,0,37,1,0,1,2,9,5,1,0,1
ArcSigov_otus-homework4,0,0,33,1,0,1,43,5,12,0,0,1
OCA_account-invoicing,5,1,50,3,0,2,2,11,6,0,1,0
paddydoyle_ipam-lite,0,0,8,3,0,1,2,4,1,0,0,0
segiddins_segiddins.me,1,0,17,1,0,1,2,7,5,1,0,0
sleuthkit_autopsy,1,0,72,2,0,1,12,11,7,0,0,0
quantcast_qfs,5,23,101,12,0,1,43,11,3,0,0,1
gkatzioura_CloudStorageMaven,0,0,10,1,0,1,2,5,2,0,0,0
Mastercard-Gateway_simplify-android-sdk,0,2,32,1,0,1,12,7,4,0,1,1
pockethub_PocketHub,0,2,26,1,0,1,12,7,3,0,0,0
x42en_IOServer,0,0,12,3,0,1,10,6,0,0,0,0
ECAM-Brussels_PythonAdvanced2BA,0,0,4,1,0,1,2,4,1,0,0,0
moai_moai-dev,0,0,8,1,0,1,2,5,5,0,0,0
seikichi_pry-inline,0,0,12,4,0,1,3,5,1,0,0,0
rpherbig_dr-scripts,0,0,6,1,0,1,2,4,1,0,0,0
kamo-naoyuki_pytorch_complex,1,0,28,14,0,1,12,8,8,0,0,0
heremaps_here-aaa-java-sdk,2,0,16,1,0,1,2,6,3,0,1,0
usb-tools_USBProxy-legacy,0,3,34,1,0,1,13,7,8,0,1,0
dpkp_kafka-python,1,0,47,40,0,1,1,11,5,0,1,0
JaneliaSciComp_elk-utilities,0,1,17,1,0,1,1,10,8,0,0,0
nimiq_core-js,7,49,142,11,1,2,1,9,15,0,1,0
EasonWang01_All2Json,0,0,9,1,0,1,2,5,0,1,1,0
neka-nat_dq3d,2,2,31,3,0,1,13,6,2,0,0,0
samleb_sexy_scopes,1,1,53,30,0,1,13,9,5,1,0,0
alirazaalvi_ReactBoilerplate,0,0,6,3,0,1,2,4,0,0,0,0
CDAT_vcdat,0,1,30,1,0,1,12,4,19,0,0,0
NethServer_nethserver-base,4,0,39,1,0,1,2,6,1,1,0,0
rishiqing_rishiqing-electron,2,2,34,1,0,1,10,12,2,1,1,0
lumoslabs_changes_are_logged,1,0,15,4,0,1,112,6,1,0,1,0
gdbots_pbjx-bundle-php,0,0,9,1,0,1,2,14,2,0,0,0
bkg_django-spillway,1,0,23,2,0,1,1,7,8,0,0,0
l0rdn1kk0n_wicket-webjars,0,0,4,1,0,1,2,3,0,0,0,0
gouarfig_board-notices,6,6,74,8,0,1,0,23,12,1,0,0
popovvladislav_job4j,0,6,17,1,1,1,12,4,0,0,0,0
OpenCPN_OpenCPN,2,1,88,7,0,1,13,6,5,0,0,1
mariazevedo88_json-formatter-validator,0,2,13,1,0,1,11,7,1,0,0,0
ILIAS-eLearning_ILIAS,1,0,21,3,0,1,3,13,5,0,0,0
KSIUJ_ksicamp-the-game,0,0,15,1,0,1,1,6,2,0,0,0
spryker_product-label-discount-connector,3,0,38,3,0,1,3,21,6,0,1,0
IdentityPython_JWTConnect-Python-OidcMsg,0,0,34,4,0,1,13,12,7,0,0,1
Wulf_nodehun,1,19,50,2,0,1,3,4,5,0,0,0
nearform_udaru,2,0,31,3,0,1,11,12,3,0,0,0
salesagility_SuiteCRM,9,19,121,4,0,1,2,57,40,1,1,0
Umar-Eh_Getting-a-jump-on-crime,0,0,7,1,0,1,2,3,1,0,0,0
OCA_account-reconcile,7,2,43,4,0,1,13,8,5,0,1,0
jhermsmeier_node-disk,0,0,8,3,0,1,2,5,1,0,0,0
Marri_glowfic,1,0,31,1,0,1,2,12,8,1,1,0
AlexandruGhergut_find-me-a-buddy,0,0,4,1,0,1,2,3,0,0,0,0
desihub_redrock,14,123,213,6,0,1,12,9,8,0,0,0
KnpLabs_KnpGaufretteBundle,0,0,21,4,0,1,13,11,2,0,1,0
Granicus_jekyll-ramler,0,0,16,5,0,1,2,6,4,1,0,0
msdk_msdk,0,0,8,1,0,1,2,4,1,0,0,0
convio_watirmark,0,0,12,1,1,1,2,5,2,0,0,0
Spicery_ginger,0,8,44,1,0,1,4,5,17,1,0,0
wagtail_Willow,0,3,24,5,0,1,13,6,3,0,0,0
salesforce_refocus,2,12,57,1,0,1,13,13,5,1,1,0
cparse_cparse,0,1,20,1,0,1,2,4,5,0,0,0
lmsgit_lms,4,7,77,4,1,1,3,10,12,0,0,0
expressjs_express,1,18,75,15,0,1,3,20,7,0,1,0
openmrs_openmrs-core,0,0,31,7,1,1,12,13,1,1,0,0
nanbando_core,3,0,37,2,1,1,3,14,6,0,1,0
ManageIQ_manageiq-messaging,0,0,9,3,0,1,2,6,1,0,1,0
rlucioni_blog,0,2,21,1,0,1,11,5,2,0,1,1
groovenauts_capistrano-systemd-multiservice,0,0,10,5,0,1,12,3,1,0,0,0
jfirebaugh_konacha,0,0,13,4,0,1,12,4,2,0,0,0
X-dea_MultiLocker,0,45,67,1,0,1,12,5,3,0,1,0
thoughtbot_paperclip,0,0,26,7,0,1,13,6,1,0,0,0
jhoblitt_puppet-ipmi,1,0,19,7,0,1,13,6,0,0,0,0
lbox87_smite-randomizer-client,0,0,13,1,0,1,3,4,0,0,1,1
animekita_selvbetjening,0,0,7,1,0,1,2,4,2,0,0,0
request_request,0,3,22,4,0,1,22,7,0,0,0,0
moveability_moveability,0,0,38,5,1,1,4,5,0,0,1,0
neomutt_homebrew-neomutt,1,0,21,2,0,1,3,6,9,0,0,0
Shopify_cli-ui,0,0,8,3,0,1,12,3,1,0,0,0
bluemarblepayroll_differential,1,1,21,4,0,1,2,8,5,0,1,0
OLC-Bioinformatics_StrainChoosr,1,2,27,2,0,1,2,10,6,1,1,0
juliangruber_isarray,0,0,21,16,1,1,210,11,1,0,1,0
arqex_react-datetime,0,0,15,2,0,1,11,7,3,0,0,0
varwishteam_varwish-fe,0,1,21,1,0,1,26,6,2,0,0,1
KnpLabs_Gaufrette,12,0,47,4,0,1,13,26,8,0,1,0
CitrineInformatics_api-documentation,1,0,12,1,0,1,12,4,0,0,0,1
kojimain_club-groupware-app,0,0,28,1,0,1,3,19,6,0,1,1
zecure_shadowd_php,0,0,11,4,0,1,2,12,1,0,0,0
eggcaker_jekyll-org,1,2,31,1,2,1,14,9,2,1,1,0
logstash-plugins_logstash-filter-collate,0,0,2,1,0,1,3,3,0,0,0,0
quaddy-services_escape-from-intranet,0,10,32,1,0,1,2,4,5,0,0,0
qcubed_qcubed,2,10,77,26,0,1,224,27,5,0,0,0
ezsystems_ezpublish-kernel,18,22,112,12,1,1,13,21,16,1,1,0
witte_Metronome,1,0,50,2,0,1,23,4,14,0,0,0
PapenfussLab_gridss,0,0,8,1,0,1,1,5,0,0,0,0
Project-OSRM_osrm-backend,26,27,577,28,0,2,122,12,62,1,1,0
opencredit_badgeos,2,0,32,12,0,1,12,25,2,1,0,0
honix_Pyno,0,0,9,1,0,1,2,5,3,0,0,0
zhm_minipg,1,0,16,3,0,1,2,7,1,0,0,0
nortikin_sverchok,1,4,88,1,0,1,34,8,3,1,1,1
platformio_platform-intel_mcs51,1,0,26,6,1,1,2,6,3,0,0,0
zed-0xff_pedump,0,0,29,5,0,1,0,5,0,0,0,0
swagger-api_swagger-codegen,2,37,116,1,0,1,11,11,33,0,1,0
gradle_playframework,2,0,33,6,0,1,2,7,4,0,1,0
livecode_livecode,2,21,130,2,0,1,12,13,5,1,0,0
rubysec_ruby-advisory-db,1,1,13,1,1,1,12,4,0,0,1,0
eclipse_dartboard,1,1,26,1,0,1,2,8,12,0,1,0
MattKetmo_EmailChecker,0,0,20,7,0,1,2,14,3,0,0,0
neos_flow-development-collection,3,6,114,9,1,1,0,45,35,1,1,0
walley_guidepost,0,7,35,1,0,1,2,4,7,0,0,0
asherbar_InspectorDB,1,0,14,2,0,1,1,7,3,0,0,0
earwig_mwparserfromhell,1,0,23,20,0,1,2,11,3,0,0,0
omeka_Omeka,0,0,39,8,0,1,13,17,9,0,0,0
zxz054321_laravel4china,0,0,15,2,0,1,2,14,5,0,0,0
audionamix_rtff,0,3,28,1,0,1,11,2,8,0,0,0
roundcube_roundcubemail,2,9,40,4,0,1,12,13,2,0,1,0
NoChanceSD_AncientGates,0,0,16,1,0,1,12,6,2,0,1,0
liip_LiipImagineBundle,8,5,96,10,0,1,13,18,9,0,1,0
henroca_react-material-keyboard,1,0,23,1,0,1,2,9,8,0,1,0
dunwu_spring-tutorial,0,2,18,1,1,1,2,5,1,1,0,0
wttech_AEM-Rules-for-SonarQube,1,1,22,2,0,1,1,6,1,0,0,0
Echsecutor_bitcoin_trading.echse,1,0,9,2,0,1,2,5,1,0,0,0
travis-ci_travis-cookbooks,2,0,20,2,0,1,2,3,1,0,0,0
adamnoto_bali,1,0,47,8,0,1,3,9,6,0,1,0
HubSpot_Singularity,0,0,9,1,0,1,2,4,1,0,1,0
bublejs_buble,1,0,21,2,0,1,2,5,3,0,0,0
animachine_animachine,0,0,12,3,0,1,12,6,2,0,0,0
oivoodoo_devise_masquerade,0,0,13,2,0,1,12,5,1,0,0,0
google_cdep,0,3,62,1,0,1,14,5,17,0,0,1
pezmaster31_bamtools,1,2,57,4,0,1,12,5,6,0,0,0
esbanarango_ember-model-validator,2,5,49,8,0,1,13,11,6,0,1,0
hrbrmstr_iptools,1,0,16,1,2,1,12,4,0,0,0,0
OpenBuildings_jam,1,0,53,9,1,1,13,29,8,1,1,0
mikera_tyrant,0,0,4,2,0,1,2,3,0,0,0,0
serverless-heaven_serverless-webpack,1,1,29,2,0,1,0,7,4,0,0,0
dolatapatryk1_text-transformer,0,0,2,1,0,1,3,2,0,0,0,0
asaschachar_optimizely-manager-js,0,0,20,3,0,3,2,5,3,0,0,0
novus_nvd3,0,1,20,1,0,1,2,6,11,0,0,0
puppetlabs_puppetlabs-ntp,4,0,116,9,1,3,0,12,16,1,1,0
BuildCraft_BuildCraft,1,0,20,3,0,3,2,4,6,0,0,0
freyo_laravel-queue-cmq,0,0,13,4,0,1,12,14,2,0,0,0
adomant_blog_finally,0,0,14,1,0,1,112,6,1,0,0,0
samarthbsb_SpringWebsocket,0,0,4,1,0,1,2,2,0,0,0,0
wso2_carbon-identity-framework,0,0,9,1,0,1,2,4,1,0,1,0
20c_munge,0,0,22,4,0,1,3,11,4,1,0,0
JCMais_node-libcurl,6,8,91,20,0,1,2,16,9,1,1,0
tfussell_xlnt,9,14,232,8,0,1,34,10,19,0,0,1
astorm_pestle,10,52,128,1,0,1,11,60,42,0,0,0
beloop_components,1,0,28,2,0,1,13,14,5,0,1,0
Adonai_Man-Man,3,2,69,1,0,1,22,9,10,0,1,1
victorhaggqvist_libtodotxt,0,0,9,1,0,1,2,3,2,0,0,0
the-events-calendar_the-events-calendar,0,47,149,1,0,1,12,34,49,0,1,0
bloomreach-forge_iframe-perspective,0,0,7,1,0,1,2,3,0,0,1,0
travis-ci_travis-build,3,0,76,4,0,3,12,15,11,0,1,1
shaggy8871_frame,0,0,10,2,0,1,2,14,3,0,0,0
nushio3_cmaes,0,0,4,1,0,1,2,0,1,0,0,0
dankogai_js-hexfloat,0,0,4,1,0,1,2,2,0,0,0,0
fougue_fougtools,0,0,25,1,0,1,1,3,13,0,0,0
mmckinst_puppet-hash2stuff,3,8,43,7,0,1,104,8,2,0,0,1
jruby_jruby,5,6,336,36,1,2,112,14,39,0,1,0
thoughtbot_clearance,0,0,29,15,0,1,13,8,1,1,1,0
cartalyst_sentry,0,0,19,5,0,1,3,16,3,0,0,0
maslick_bruncher,0,0,63,5,0,5,12,10,9,0,1,0
netresearch_t3x-contexts_geolocation,1,3,45,1,0,1,12,21,9,0,1,0
zli117_EInk-Calendar,0,0,16,1,0,1,2,11,10,0,0,0
SixArm_sixarm_ruby_uspto,0,0,14,4,0,1,12,4,1,0,1,0
erikkjellgren_SlowQuant,0,0,40,2,0,1,1,8,14,0,0,0
research-technologies_hull_synchronizer,1,0,13,1,0,1,13,6,2,0,1,0
pinussilvestrus_bncl,0,0,6,1,0,1,2,2,0,0,0,0
trinodb_tempto,0,0,21,3,0,1,2,5,7,0,0,0
RubyMoney_money,0,0,35,15,3,1,12,5,2,0,0,0
Teevity_ice,0,0,15,1,0,1,12,4,5,0,0,0
Donaldcwl_browser-image-compression,0,0,4,1,0,1,2,3,0,0,0,0
demokratikollen_demokratikollen,4,2,54,3,0,3,22,11,13,0,1,0
facebook_facebook-android-sdk,1,5,50,1,1,1,112,7,4,0,0,1
pjc0247_rookie.lang,0,0,13,1,0,1,13,6,2,0,0,1
adopted-ember-addons_ember-impagination,2,6,58,7,0,2,11,11,7,0,1,0
jaridmargolin_wss-manager,0,0,18,2,0,1,14,6,2,0,0,1
mwibrow_sphinx-sass,0,0,21,1,0,1,12,7,2,1,0,0
kylesferrazza_jerrymercogliano,1,0,14,1,0,1,2,6,1,1,0,0
foxtacles_rj_schema,1,0,26,1,0,1,3,7,2,0,0,1
AO-StreetArt_Adrestia,0,0,37,1,1,1,2,9,16,0,0,0
bmcfee_pumpp,0,1,33,3,0,1,11,9,6,0,1,0
buguroo_pyknow,0,0,15,3,0,1,2,8,5,0,0,0
OCA_partner-contact,5,1,50,3,0,2,2,11,6,0,1,0
DIYer22_boxx,0,9,32,4,0,1,100,8,3,0,0,0
JonnyPtn_SFML-DOOM,1,1,108,12,0,1,3,4,10,0,0,0
PX4_PX4-Autopilot,0,2,36,1,0,1,3,6,5,0,0,0
optimizely_nuclear-js,1,0,17,1,0,1,2,7,1,1,0,0
GetSky_php-airac,0,0,21,2,0,1,12,18,5,0,0,0
sarahtattersall_PIPE,0,4,17,1,0,1,12,5,2,1,0,0
PabloCastellano_libcnml,0,2,20,2,0,1,2,7,2,1,1,0
DDMAL_diva.js,0,0,20,1,1,1,12,7,3,0,1,0
instedd_resourcemap,0,0,33,1,1,1,2,6,10,0,1,1
rodjek_rspec-puppet,4,5,46,12,1,1,13,7,1,0,1,0
abotalov_waiting_rspec_matchers,0,0,20,9,0,1,12,5,2,0,0,0
svl-studios_google-fonts,1,5,15,1,0,1,2,13,1,0,0,0
plone_plone.testing,1,0,46,10,0,1,113,7,3,0,1,0
imatesiu_TestHWCorrispettivi,0,0,6,1,0,1,2,3,1,0,0,0
rapid7_metasploit_data_models,0,2,23,1,0,1,11,6,5,0,1,0
KState-HEP-HTT_SMHTT_Analyzers,3,14,36,1,0,1,3,3,2,0,0,0
kadrlica_dsphsim,0,6,32,1,0,1,12,4,12,0,0,0
getgrav_grav,11,8,97,4,2,1,2,21,11,1,0,0
lesscpy_lesscpy,0,3,17,5,0,1,2,8,2,0,0,0
blueberryapps_translation-server,1,0,29,1,0,1,12,10,5,0,1,0
relative-ci_agent,0,0,11,1,0,1,2,4,4,0,1,0
fex-team_node-ral,0,0,17,4,0,1,12,9,2,0,1,0
stacktracejs_stack-generator,0,0,16,1,0,1,11,8,4,0,0,0
gushphp_ToInlineStyleEmailBundle,0,0,10,1,0,1,2,13,2,0,0,0
anthill-platform_anthill-common,0,0,22,1,0,1,12,9,3,0,0,0
imglib_imglib2,1,0,18,1,0,1,2,7,2,1,1,0
VioletGiraffe_cpp-template-utils,0,4,34,1,0,1,0,6,15,0,0,0
carsevbarus_decide-test,2,0,28,1,0,1,113,12,7,0,0,1
SpineEventEngine_jdbc-storage,0,4,23,1,0,1,2,3,5,0,0,0
informatics-isi-edu_chaise,7,0,150,1,1,1,11,16,64,1,1,0
SUSE_salt-netapi-client,1,0,35,2,0,1,23,8,8,0,0,1
mrajo_cupelix,0,0,11,8,0,1,2,9,0,0,0,0
pulp_pulp,0,0,39,1,1,1,2,9,10,0,0,0
hmcts_hwf-staffapp,0,1,33,1,0,1,12,7,14,0,1,0
scrapy_cssselect,0,0,25,5,0,1,13,8,2,0,0,1
Pylons_substanced,0,0,13,4,0,1,12,5,2,0,0,0
kquiet_auto-browser,1,1,37,2,0,1,1,7,5,1,1,0
chubbyphp_chubbyphp-deserialization,1,0,42,7,0,1,2,18,7,0,0,0
rspec_rspec-activemodel-mocks,1,11,189,75,0,1,3,6,3,1,0,0
jonathangingras_ckick,0,0,6,1,0,1,12,3,1,0,0,0
resilience4j_resilience4j,2,3,35,1,0,1,0,10,3,0,1,0
SC5_sc5-styleguide,0,0,14,2,1,1,12,7,1,0,0,0
Layto888_laylib,0,2,14,3,0,1,2,6,2,0,0,0
Comcast_zucchini,0,0,3,1,0,1,12,3,0,0,0,0
crdoconnor_xeger,0,2,16,5,0,1,2,8,2,0,0,0
conda-forge_binutils-feedstock,4,2,28,3,0,1,3,2,4,0,0,0
kontena_kontena,5,5,92,10,0,5,192,9,8,0,1,0
ccnmtl_dmt,0,0,15,1,1,1,101,9,4,0,0,0
yui_yui3,0,0,12,2,0,1,2,6,1,1,0,0
jackmoody11_stockscore,2,2,49,3,0,1,23,9,8,0,0,0
capacity4dev_capacity4more,4,16,109,6,1,1,122,37,17,0,0,0
cerner_terra-core,0,10,168,20,0,5,24,8,29,1,1,0
miracle2k_django-assets,0,0,26,12,0,1,11,13,2,1,1,0
tech256_r2d8,0,1,18,1,0,1,2,4,5,0,1,0
pdobb_pronto-bundler_audit,1,0,21,4,0,1,12,8,4,0,1,0
redcross_arcdata,1,0,22,1,0,1,12,9,5,0,1,0
fwilliams_numpyeigen,3,1,24,6,0,1,11,10,5,0,0,0
ebru_sending-messages,0,0,7,1,0,1,2,14,3,0,0,0
esac-ic_esac.nl,0,0,43,1,0,1,12,25,18,0,0,0
dschadow_JavaSecurity,0,0,3,1,0,1,12,4,0,0,0,0
Hosiang1026_Hosiang1026.github.io,0,25,85,1,1,1,32,10,8,1,1,0
kakserpom_phpdaemon,0,0,23,3,0,1,12,16,5,0,1,0
skalenetwork_libBLS,8,1,144,2,1,1,135,5,26,0,0,0
CAAPIM_webpack-config,0,0,32,1,0,1,12,10,5,1,1,0
ONSdigital_rm-common-test-framework,0,2,38,1,1,1,2,8,6,1,1,0
woocommerce_woocommerce,5,10,102,11,0,1,0,29,13,1,1,0
NeilJustice_ZenUnitAndMetalMock,3,12,76,4,1,1,11,10,1,0,1,0
coffeestats_coffeestats-django,0,0,17,1,0,1,12,9,6,0,0,0
lccgov_generator-lcc-sharepoint,1,0,20,1,0,1,2,7,10,0,0,0
karriereat_php-code-quality,0,0,15,3,0,1,2,14,3,0,0,0
bencbartlett_Overmind,0,0,5,1,0,1,2,3,0,0,0,0
JeroenDeDauw_QueryrAPI,0,0,15,1,0,1,12,15,2,0,1,0
UnionOfRAD_lithium,4,23,98,27,0,1,13,42,13,0,0,0
dev-sec_linux-baseline,0,0,10,1,0,1,12,5,1,0,1,0
enova_landable,1,1,50,15,2,1,113,12,4,0,1,0
ssistoza_pokemon-viewer,0,0,18,1,0,1,16,6,2,0,1,1
dcendents_android-maven-gradle-plugin,1,0,26,1,0,1,12,8,1,0,1,0
airbnb_epoxy,0,0,31,1,0,1,2,7,1,1,1,0
Nepherte_bing-proxy,0,6,29,3,0,2,2,7,3,0,1,0
netguru-college_vol4-dugong,0,0,18,1,0,1,3,7,4,0,0,1
jczaja_test-openmp,0,0,10,1,0,1,10,3,3,0,0,0
afs_text-table,0,1,12,1,1,1,2,4,0,0,0,0
ysc_word,0,0,7,1,0,1,2,4,1,0,0,0
woocommerce_storefront,0,0,19,1,0,1,2,4,5,0,0,0
netiam_contrib-rest,0,0,14,1,0,1,2,7,0,1,1,0
mikahama_syntaxmaker,0,2,14,1,0,1,2,6,3,0,0,0
ctlabvn_Recaptcha,4,0,42,5,0,1,3,23,7,0,0,0
audioscience_avdecc-lib,1,2,26,1,0,1,11,8,11,0,0,0
abuccts_wikt2pron,0,0,17,8,0,1,1,11,3,0,0,0
noironetworks_apic-ml2-driver,1,0,10,2,0,1,2,5,2,0,0,0
culturagovbr_salic-minc,0,0,12,1,0,1,2,6,1,1,1,0
all3dp_meshprop,1,0,22,4,0,1,2,8,3,0,0,0
tyabe_kpt-it,0,0,11,1,0,1,13,7,3,1,0,0
virtuald_pyhcl,0,3,44,7,0,3,22,7,7,0,0,0
gini_dropwizard-gelf,0,0,8,2,0,1,12,2,0,0,0,0
celery_billiard,0,0,22,12,0,1,2,11,2,0,1,0
ethereumjs_ethrpc,1,0,29,1,0,1,12,9,3,1,0,0
codecentric_spring-boot-admin,1,0,28,1,0,1,1,10,4,0,1,0
kinglozzer_silverstripe-multiselectfield,1,2,27,3,0,1,1,19,7,0,0,0
neuromorphic-paris_chameleon,0,0,47,3,0,1,13,3,6,0,0,0
spatie_ssl-certificate-chain-resolver,1,0,20,8,0,1,3,17,3,0,0,0
q-flux_SOEN341,0,0,14,1,0,1,2,15,5,0,0,0
Soapbox_GoodTalk-Webhooks,0,0,17,3,0,1,2,15,2,0,1,0
nostra13_Android-Universal-Image-Loader,0,0,10,1,0,1,12,3,0,0,0,0
private-datagram_pdg-core,20,9,75,6,1,1,12,10,25,0,1,0
cheeriojs_cheerio,1,0,10,1,0,1,3,5,1,0,0,0
python_mypy,5,23,120,11,0,1,101,9,9,0,1,0
xero-gateway_xero_gateway,0,0,9,3,0,1,2,4,2,0,0,0
xp-forge_web,0,0,24,6,0,1,2,18,5,0,0,0
cotag_http-parser,0,0,9,5,0,1,12,2,0,0,0,0
bcr_Motobuddy,0,45,66,1,0,1,12,4,2,0,1,0
ulfurinn_wongi-engine,0,0,23,8,2,1,13,3,0,0,0,0
jlib-framework_jlib-iterable,0,0,2,1,0,1,2,2,0,0,0,0
learning-unlimited_ESP-Website,2,0,22,2,0,1,2,10,4,0,1,0
apache_cloudstack,2,30,220,18,0,1,12,17,4,0,1,0
mozilla_jx-sqlite,1,0,14,2,0,1,2,5,2,0,0,0
rapid7_metasploit-framework,1,10,77,12,1,1,112,14,14,1,1,0
JeffValenti_SME,0,6,50,2,0,1,11,5,14,0,0,0
FriendsOfSymfony1_symfony1,0,2,47,10,0,1,0,21,6,0,1,0
m-jch_Date,0,0,8,5,0,1,2,12,0,0,0,0
iiif-prezi_iiif-prezi,0,2,21,5,0,1,12,10,6,0,0,0
servicecatalog_development,3,1,33,1,0,1,22,11,11,0,1,0
unifiedjs_unified-engine,0,0,9,4,0,1,1,6,0,0,0,0
Axway_ats-distrib,1,2,25,1,1,1,2,7,4,0,1,0
Magomogo_barberry-interfaces,0,0,21,4,0,1,12,16,3,1,0,0
