project,ch.uzh.ciclassifier.features.configuration.EnvSize,ch.uzh.ciclassifier.features.configuration.NumberOfComments,ch.uzh.ciclassifier.features.configuration.NumberOfConfigurationLines,ch.uzh.ciclassifier.features.configuration.NumberOfJobs,ch.uzh.ciclassifier.features.configuration.NumberOfNotifications,ch.uzh.ciclassifier.features.configuration.NumberOfStages,ch.uzh.ciclassifier.features.configuration.ParseScore,ch.uzh.ciclassifier.features.configuration.TemplateSimilarity,ch.uzh.ciclassifier.features.configuration.UniqueInstructions,ch.uzh.ciclassifier.features.configuration.UseBranches,ch.uzh.ciclassifier.features.configuration.UseCache,ch.uzh.ciclassifier.features.configuration.UseDeploy
jredmondson_gams,19,16,164,13,0,1,1,9,28,1,0,0
OpenSOC_opensoc-streaming,0,0,15,1,2,1,2,4,1,0,0,0
kostopoulos_todo_mvc,0,0,7,1,0,1,2,5,2,0,0,0
jenkinsci_warnings-plugin,0,0,7,1,0,1,2,4,2,0,0,0
BhallaLab_moose-core,0,0,36,2,1,1,23,6,5,0,0,0
bpmn-io_diagram-js,0,0,6,1,0,1,2,4,2,0,0,0
masneyb_cavedbmanager,0,0,17,1,0,1,13,6,5,0,0,0
NYPL-Simplified_server_core,7,0,53,1,0,1,11,11,15,0,1,0
liip_LiipThemeBundle,2,0,47,11,0,1,13,22,7,0,1,0
tinymce_tinymce,0,0,21,1,0,1,1,6,5,0,1,0
mixpanel_mixpanel-js,0,0,7,2,0,1,2,4,1,0,0,0
brwyatt_puppet-flatpak,3,0,55,4,0,3,103,11,5,1,1,1
77web_DependencyAnalyzerUsage,0,0,34,2,0,1,113,18,4,0,1,0
yarynakorduba_public-transport-networks,0,0,16,1,0,1,13,7,3,0,1,1
Lartu_ldpl,1,0,15,1,0,1,0,4,3,0,0,0
rcannood_incgraph,0,0,3,1,0,1,12,1,0,0,0,0
zuixjs_zuix,0,2,13,1,0,1,2,8,2,0,0,0
ULYSSIS-KUL_ipp,0,0,14,1,0,1,2,7,5,0,0,0
mapbox_cardboard,1,0,12,2,0,1,12,6,1,0,0,0
