"travis_id","ght_id","watchers","slug","lang","created_at","last_build_finished_at","order","project_found","log_found","travis_present","first_t_commit","last_t_commit","active","last_build_duration","yml_contribs","yml_commits","job_count","repo_id","build_id","last_build","commits","contribs","last_commit","build_count","first_build","yml_deleted","travis_abandoned","builds_period","travis_period","pushes","PRs","project_age","abandoned","commit_time_after_last_build","abandoned_and_alive","status"
"46185","12389334","5","lukespragg/jalopy-maven-plugin","Java","2012-09-09","2014-09-29","100573","1","1","1","2013-08-01","2014-09-29","1","219","2","7","1","46185","36614917","2014-09-29","12","2","2014-09-29","7","2013-08-01","0","0","424","424","6","1","2011","0","0","FALSE","no github"
"50552","1418768","16","Sylius/SyliusInventoryBundle","PHP","2012-04-09","2016-03-05","58746","1","1","0","2012-05-11","2016-03-11","0","359","4","10","3","50552","113830081","2016-03-05","342","37","2017-02-20","120","2012-12-18","1","1","1173","1400","88","32","2164","1","352","TRUE","no travis"
"50553","1934739","11","Sylius/SyliusTaxationBundle","PHP","2012-04-09","2016-03-08","69862","1","1","0","2012-12-22","2016-03-11","0","417","4","9","3","50553","114422285","2016-03-08","360","51","2017-03-09","100","2012-12-22","1","1","1172","1175","87","13","2164","1","366","TRUE","no travis"
"50555","421171","78","Sylius/SyliusFlowBundle","PHP","2012-04-29","2016-03-05","25550","1","1","0","2012-05-06","2016-03-11","0","209","4","8","3","50555","113830069","2016-03-05","191","41","2016-07-25","98","2012-06-17","1","1","1357","1405","68","30","2144","1","142","TRUE","no travis"
"50914","81325","16","plone/plone.app.discussion","Python","2011-09-25","2015-09-14","58557","1","1","0","2015-01-29","2015-09-14","1","441","2","3","1","50914","80230513","2015-09-14","2097","94","2017-02-12","101","2015-01-29","1","1","228","228","84","17","2361","0","517","FALSE","no travis"
"50922","25097","25","plone/plone.app.theming","JavaScript","2011-09-25","2013-01-18","47194","1","1","1","2012-07-30","2012-08-08","0","794","1","6","1","50922","4237975","2013-01-18","832","67","2017-03-02","130","2012-07-30","0","1","172","9","105","25","2361","1","1504","TRUE","no travis"
"53957","197182","91","t6d/smart_properties","Ruby","2012-05-13","2015-10-11","23261","1","1","0","2012-06-07","2015-11-06","0","320","1","8","5","53957","84733723","2015-10-11","208","7","2016-10-13","176","2012-06-07","1","1","1221","1247","138","38","2130","1","368","TRUE","no travis"
"61180","10495335","3815","Automattic/node-canvas","C++","2010-09-29","2017-03-18","816","1","1","1","2012-02-24","2016-10-23","1","690","6","19","5","61180","212414307","2017-05-03","1462","99","2017-03-18","608","2014-06-28","0","0","1040","1703","200","408","2722","0","-46","FALSE","no travis"
"61582","302910","317","stefanfoulis/django-phonenumber-field","Python","2011-08-31","2017-03-04","9655","1","1","1","2014-04-29","2016-08-04","1","1339","6","25","29","61582","207735365","2017-03-04","214","48","2017-03-04","227","2014-04-29","0","0","1040","828","59","168","2386","0","0","FALSE","no travis"
"61845","13139026","2","enthought/sectiondoc","Python","2012-02-07","2017-04-11","143652","1","1","1","2014-05-22","2017-01-31","1","383","3","18","8","61845","221099124","2017-04-11","293","5","2017-01-31","180","2014-05-22","0","0","1055","985","108","67","2226","0","-70","FALSE","no github"
"63477","8970165","251","advanced-js/syllabus","JavaScript","2012-05-27","2014-04-05","11574","1","1","0","2013-10-05","2014-04-04","0","18","2","2","1","63477","22318385","2014-04-05","312","7","2016-09-18","65","2013-10-05","1","1","182","181","48","17","2116","1","897","TRUE","no travis"
"63833","14293735","84","chrismytton/shoreman","Shell","2011-10-08","2014-12-19","24564","1","1","1","2013-01-24","2014-12-07","1","3","2","5","1","63833","44602082","2017-05-16","133","11","2017-01-21","81","2013-01-24","0","0","1573","682","45","36","2348","0","-115","FALSE","no travis"
"65016","16333","962","maxcountryman/flask-login","Python","2012-03-11","2017-02-16","3706","1","1","1","2013-06-16","2017-01-15","1","128","5","6","5","65016","202148727","2017-02-16","271","73","2017-01-15","393","2013-06-17","0","0","1340","1309","154","239","2193","0","-32","FALSE","no travis"
"70377","22051129","491","simple-statistics/simple-statistics","JavaScript","2012-02-08","2016-02-16","6760","1","1","0","2012-06-21","2016-02-15","0","3","1","9","1","70377","109512239","2016-02-16","499","32","2017-03-10","353","2012-06-24","1","1","1332","1334","236","117","2225","1","388","TRUE","no travis"
"77400","68205","2","webignition/http-client","PHP","2012-03-19","2013-03-31","132157","1","1","0","2012-07-19","2013-09-26","0","108","1","9","3","77400","5936603","2013-03-31","77","1","2013-09-26","29","2012-07-19","1","1","255","434","29","0","2185","1","179","TRUE","no travis"
"78326","606070","6","MiniGod/node-gbxremote","JavaScript","2012-06-11","2012-08-28","93820","1","1","0","2011-12-10","2016-02-17","0","42","2","2","2","78326","2267210","2012-08-28","249","12","2016-02-17","2","2012-08-26","1","1","2","1530","2","0","2101","1","1268","TRUE","no travis"
