size,accuracy,std
30,0.7166666666666668,0.2524716468371061
50,0.75,0.1708720061573613
70,0.7642857142857142,0.14304453204910142
90,0.7633333333333334,0.13493737621118668
110,0.7481818181818183,0.1271831208604896
130,0.7723076923076924,0.0975769100637694
150,0.77,0.0919174319383517
