permutation,accuracy,std
Configuration,0.7478750000000001,0.10005639902630474
Repository,0.6679166666666666,0.11081061797298832
Pipeline,0.70475,0.10179128291645499
"Configuration,Repository",0.755875,0.09470182555731908
"Configuration,Pipeline",0.7697083333333333,0.10564427831958847
"Repository,Pipeline",0.6695833333333333,0.1098491705830216
"Configuration,Repository,Pipeline",0.7642083333333334,0.10424845955429964
