language,accuracy_other,std_other,samples_train_other,samples_test_other,precision_other,recall_other,accuracy_self,std_self,samples
Ruby,0.7233333333333333,0.036666666666666695,121,30,0.7118673577884105,0.7069444444444445,0.6900000000000002,0.24610295948376296,30
JavaScript,0.796,0.033226495451672285,126,25,0.7547681704260651,0.7273809523809524,0.81,0.24610295948376298,25
Python,0.7962962962962963,0.04459849843997146,124,27,0.7902480852480853,0.7954545454545455,0.83,0.2134114440334549,27
Java,0.8636363636363636,0.035208939510976485,129,22,0.8532066544566546,0.8660714285714286,0.8266666666666667,0.2437211521390788,22
C++,0.7521739130434782,0.033957607286550694,128,23,0.7281290931290931,0.7616071428571429,0.7683333333333333,0.25808590301163936,23
PHP,0.7083333333333333,0.026352313834736508,127,24,0.6685486694677871,0.65625,0.6133333333333333,0.2970970660687626,24
