travis_id,ght_id,watchers,slug,lang,created_at,last_build_finished_at,order,project_found,log_found,travis_present,first_t_commit,last_t_commit,active,last_build_duration,yml_contribs,yml_commits,job_count,repo_id,build_id,last_build,commits,contribs,last_commit,build_count,first_build,yml_deleted,travis_abandoned,builds_period,travis_period,pushes,PRs,project_age,abandoned,commit_time_after_last_build,abandoned_and_alive
1150202,3526154,7,camsys/oneclick,Ruby,01.07.13,31.01.17,85175,1,1,1,29.07.13,06.02.16,0,124,4,87,1,1150202,197096240,31.01.17,7064,25,14.03.17,2042,29.07.13,0,1,1282,922,1965,77,1716,1,42,TRUE
1151539,2687583,5,sunnysideup/silverstripe-campaignmonitor,PHP,20.10.11,13.03.17,97436,1,1,1,07.04.14,13.03.17,1,138,2,3,1,1151539,210421147,13.03.17,225,8,13.03.17,129,07.04.14,0,0,1071,1071,123,6,2336,0,0,FALSE
1151542,566466,5,sunnysideup/silverstripe-dataobjectsorter,PHP,20.10.11,13.03.17,96791,1,1,1,07.04.14,10.01.17,1,103,3,6,1,1151542,210378902,13.03.17,140,10,16.01.17,125,07.04.14,0,0,1071,1009,109,16,2336,0,-56,FALSE
1151675,2687608,1,sunnysideup/silverstripe-wishlist,PHP,25.07.12,13.03.17,160440,1,1,1,07.04.14,13.03.17,1,61,1,2,1,1151675,210433186,13.03.17,35,4,13.03.17,28,07.04.14,0,0,1071,1071,19,9,2057,0,0,FALSE
1152771,895988,1,lap82/DSpace,Java,24.07.12,26.09.16,180934,1,1,1,25.07.13,22.09.14,1,621,3,11,1,1152771,162842669,26.09.16,9927,128,17.02.15,91,29.09.13,0,0,1093,424,91,0,2058,0,-587,FALSE
1170751,4899610,9,example42/puppet-kibana,Puppet,03.08.13,28.06.15,76752,1,1,1,03.08.13,03.08.13,0,805,1,1,10,1170751,68682859,28.06.15,33,5,12.05.16,18,14.09.13,0,1,652,0,13,5,1683,1,319,TRUE
1174650,5561102,48,rakuten-ws/rws-ruby-sdk,Ruby,05.08.13,15.04.17,33775,1,1,1,22.08.13,25.12.16,1,299,3,14,5,1174650,222297425,15.04.17,371,6,22.01.17,370,22.08.13,0,0,1332,1221,252,118,1681,0,-83,FALSE
1178473,11451534,1,snowball-one/django-oscar-eway,Python,07.11.12,30.10.14,163524,1,1,1,15.11.12,28.10.14,1,2605,2,9,17,1178473,39443865,30.10.14,60,5,30.10.14,73,06.08.13,0,0,450,712,65,8,1952,0,0,FALSE
1179172,4830366,2,Yoast/clicky,PHP,06.08.13,16.12.14,136050,1,1,1,12.12.14,13.12.14,0,82,1,23,5,1179172,44210090,16.12.14,89,5,01.07.16,49,12.12.14,0,1,4,1,35,14,1680,1,563,TRUE
1179291,4830761,1,jasl/19wu,Ruby,06.08.13,23.09.13,182635,1,1,1,24.12.12,06.09.13,1,898,5,34,2,1179291,11708740,23.09.13,1265,36,23.09.13,83,06.08.13,0,0,48,256,81,2,1680,0,0,FALSE
1185468,4910443,14,ciudadanointeligente/votainteligente-portal-electoral,Python,07.08.13,31.03.17,62872,1,1,1,12.08.13,11.07.16,1,197,4,15,1,1185468,217295849,31.03.17,2248,22,18.01.17,2592,12.08.13,0,0,1327,1064,2003,589,1679,0,-72,FALSE
1186568,243431,2279,AliSoftware/OHHTTPStubs,Objective-C,10.07.12,20.12.16,1568,1,1,1,08.08.13,14.11.16,1,956,4,39,8,1186568,185470531,20.12.16,967,58,20.12.16,571,08.08.13,0,0,1230,1194,385,186,2072,0,0,FALSE
1187155,10038176,57,pcman-bbs/pcmanx,C,08.08.13,21.03.17,30829,1,1,1,04.06.14,13.08.14,1,734,3,9,7,1187155,213449968,21.03.17,806,38,02.07.16,159,04.06.14,0,0,1021,70,85,74,1678,0,-262,FALSE
1198066,4928683,8,KnpLabs/KnpMailjetBundle,PHP,09.08.13,05.07.16,80780,1,1,1,25.10.13,27.11.15,1,1357,2,4,10,1198066,142458453,05.07.16,54,4,05.07.16,22,25.10.13,0,0,984,763,16,6,1677,0,0,FALSE
1203668,4899123,371,GrahamCampbell/Laravel-HTMLMin,PHP,13.08.13,12.04.17,8513,1,1,1,13.08.13,28.12.16,1,1744,2,17,20,1203668,221420803,12.04.17,415,5,01.01.17,426,13.08.13,0,0,1338,1233,378,32,1673,0,-101,FALSE
1204396,3689998,23,markreidvfx/pyaaf,Python,30.08.13,25.09.16,49426,1,1,1,30.08.13,11.03.16,1,2486,1,10,4,1204396,162518866,25.09.16,468,4,11.03.16,298,30.08.13,0,0,1122,924,297,1,1656,0,-198,FALSE
1213676,5021555,1,datakurre/collective.behavior.localskin,Python,16.08.13,01.09.13,163650,1,1,1,16.08.13,01.09.13,1,476,1,6,1,1213676,10852397,01.09.13,36,1,01.09.13,31,16.08.13,0,0,16,16,31,0,1670,0,0,FALSE
1219290,5306377,168,marcioAlmada/annotations,PHP,18.08.13,31.01.17,15474,1,1,1,18.08.13,31.01.17,1,457,1,18,5,1219290,196948067,31.01.17,319,14,31.01.17,327,18.08.13,0,0,1262,1262,295,32,1668,0,0,FALSE
1221277,3520845,110,lumail/lumail,C++,01.05.13,05.09.15,20633,1,1,1,19.08.13,19.08.13,0,78,1,2,1,1221277,78868081,05.09.15,1408,11,06.11.15,318,19.08.13,0,1,747,0,291,27,1777,1,62,TRUE
1222335,5043631,11,OpenBuildings/monetary,PHP,19.08.13,14.11.14,70222,1,1,1,21.08.13,09.04.14,1,49,2,3,3,1222335,40976168,14.11.14,35,2,09.04.14,23,20.08.13,0,0,451,231,22,1,1667,0,-219,FALSE
1227308,12482409,8,mbedded-ninja/MPid,C++,20.05.13,10.10.14,82179,1,1,1,27.08.13,11.10.14,1,77,1,2,2,1227308,37641391,10.10.14,34,2,11.10.14,31,27.08.13,0,0,409,410,31,0,1758,0,1,FALSE
1231132,4607640,47,sheadawson/silverstripe-zenvalidator,JavaScript,17.07.13,08.02.17,34131,1,1,1,28.08.13,24.06.16,1,538,4,12,7,1231132,199536677,08.02.17,233,21,08.02.17,179,30.08.13,0,0,1258,1031,129,50,1700,0,0,FALSE
1231539,15642022,35,Perlmint/glew-cmake,C,24.05.13,07.10.15,40201,1,1,1,05.10.15,23.01.16,0,43,1,8,1,1231539,84030909,07.10.15,1208,47,03.03.17,29,31.08.13,0,1,767,110,27,2,1754,1,513,TRUE
1234199,8089533,2,duracloud/duracloud,Java,02.02.12,11.04.17,138727,1,1,1,20.10.14,20.05.16,1,1021,1,12,1,1234199,221112799,11.04.17,2177,7,13.02.17,532,20.10.14,0,0,904,578,522,10,2231,0,-57,FALSE
1256510,12550782,189,gdnsd/gdnsd,C,29.05.12,28.06.16,14259,1,1,1,29.08.13,29.12.15,1,202,2,16,2,1256510,140798034,28.06.16,1169,9,28.06.16,341,29.08.13,0,0,1034,852,333,8,2114,0,0,FALSE
1260918,12751478,2,GSA/hyabusa,JavaScript,25.07.13,08.11.13,143262,1,1,1,30.08.13,28.10.13,0,523,2,8,1,1260918,13685870,08.11.13,179,2,29.01.14,28,30.08.13,0,1,70,59,28,0,1692,1,82,TRUE
1263565,3533787,2,zhumeng1989/MISC,C++,02.05.13,15.11.13,135036,1,1,1,31.08.13,02.10.13,1,151,1,7,1,1263565,14030466,15.11.13,189,5,16.11.13,89,31.08.13,0,0,76,32,89,0,1776,0,1,FALSE
1267114,3469977,780,davejamesmiller/laravel-breadcrumbs,PHP,28.04.13,08.10.16,4527,1,1,1,28.04.13,28.08.16,0,542,2,14,4,1267114,166085786,08.10.16,231,16,30.01.17,178,01.09.13,0,1,1133,1218,138,40,1780,1,114,TRUE
1271037,5534105,1,alexindigo/deeply,JavaScript,03.09.13,05.04.17,164221,1,1,1,02.09.13,25.08.16,1,1934,1,14,6,1271037,218683102,05.04.17,80,2,25.08.16,250,03.09.13,0,0,1310,1088,165,85,1652,0,-223,FALSE
1276084,3609718,6,dyve/django-perm,Python,05.05.13,17.01.17,90829,1,1,1,07.09.13,17.01.17,1,429,1,9,11,1276084,192627167,17.01.17,59,2,17.01.17,79,07.09.13,0,0,1228,1228,78,1,1773,0,0,FALSE
1280936,5240094,4,oncletom/data.emunova.net,JavaScript,05.09.13,27.01.17,107061,1,1,1,07.04.14,27.01.17,1,954,4,12,1,1280936,195932782,27.01.17,200,12,27.01.17,77,07.04.14,0,0,1026,1026,51,26,1650,0,0,FALSE
1285629,320399,25,justindowning/puppet-rbenv,Puppet,17.01.13,29.12.16,47262,1,1,1,06.09.13,22.12.16,1,351,1,16,8,1285629,187511496,29.12.16,177,21,29.12.16,119,06.09.13,0,0,1210,1203,83,36,1881,0,0,FALSE
1285960,5352225,2,drkibitz/qi-nodes,JavaScript,07.09.13,17.03.17,136436,1,1,1,05.09.13,16.03.17,1,96,1,14,2,1285960,212021084,17.03.17,55,2,16.03.17,70,07.09.13,0,0,1287,1288,68,2,1648,0,-1,FALSE
1286019,3202377,22,DamnWidget/sublime-text,Shell,21.03.13,26.09.16,50492,1,1,1,07.09.13,17.05.16,1,41,3,6,1,1286019,162713761,26.09.16,94,14,26.09.16,56,07.09.13,0,0,1115,983,33,23,1818,0,0,FALSE
1287445,5668123,36,sonnym/travis-ci-drupal-module-example,PHP,07.09.13,02.06.16,39347,1,1,1,07.09.13,11.11.14,1,167,5,14,2,1287445,134832970,02.06.16,22,5,21.11.14,40,07.09.13,0,0,999,430,25,15,1648,0,-559,FALSE
1294821,7711172,32,mozilla/corsica,JavaScript,09.09.13,03.04.17,41861,1,1,1,31.01.14,08.03.17,1,113,3,8,2,1294821,218201365,03.04.17,207,8,08.03.17,140,01.02.14,0,0,1157,1132,105,35,1646,0,-26,FALSE
1300977,3668929,70,commonwealth-of-puerto-rico/libre,JavaScript,09.05.13,03.10.14,27281,1,1,1,11.09.13,19.09.13,1,271,1,11,2,1300977,36993550,03.10.14,573,5,03.10.14,61,11.09.13,0,0,387,8,57,4,1769,0,0,FALSE
1307270,5706214,39,brigade/haml-lint,Ruby,13.09.13,16.02.17,37768,1,1,1,17.09.13,15.02.17,0,444,5,17,8,1307270,202261686,16.02.17,455,37,22.03.17,438,18.09.13,0,1,1247,1247,338,100,1642,1,34,TRUE
